E0, 44148, 0,
S0, 5853779, 0,
E0, 2284, 1,
S0, 1182082, 1,
E0, 2542, 2,
S0, 24389, 2,
E0, 3435, 3,
S0, 18459, 3,
E0, 3504, 4,
S0, 24887, 4,
E0, 3354, 5,
S0, 27711, 5,
E0, 3436, 6,
S0, 29796, 6,
E0, 3369, 7,
S0, 33471, 7,
E0, 3699, 8,
S0, 28426, 8,
E0, 33375015, 9,
S0, 3744413, 9,
E0, 2860719, 10,
S0, 218542, 10,
E0, 87435, 11,
S0, 390264, 11,
E0, 10763, 12,
S0, 127583, 12,
E0, 12724, 13,
S0, 500674, 13,
E0, 14877, 14,
S0, 139210, 14,
E0, 12521, 15,
S0, 158283, 15,
E0, 12452, 16,
S0, 388125, 16,
E0, 21542, 17,
S0, 41698, 17,
E0, 20625, 18,
S0, 37333, 18,
E0, 21632, 19,
S0, 37718, 19,
E0, 21355, 20,
S0, 69108, 20,
E0, 19457, 21,
S0, 37453, 21,
E0, 19551, 22,
S0, 29202, 22,
E0, 18181, 23,
S0, 22614, 23,
E0, 18622, 24,
S0, 324205, 24,
E0, 19073, 25,
S0, 338362, 25,
E0, 23573, 26,
S0, 606944, 26,
E0, 19308, 27,
S0, 34813, 27,
E0, 18976, 28,
S0, 44852, 28,
E0, 17687, 29,
S0, 24597, 29,
E0, 18348, 30,
S0, 25294, 30,
E0, 18986, 31,
S0, 101383, 31,
E0, 17839, 32,
S0, 23690, 32,
E0, 27050, 33,
S0, 25096, 33,
E0, 20005, 34,
S0, 51156, 34,
E0, 17651, 35,
S0, 433999, 35,
E0, 17599, 36,
S0, 339610, 36,
E0, 17140, 37,
S0, 98880, 37,
E0, 16427, 38,
S0, 812904, 38,
E0, 17254, 39,
S0, 330600, 39,
E0, 17186, 40,
S0, 29531, 40,
E0, 17378, 41,
S0, 23270, 41,
E0, 18981, 42,
S0, 25150, 42,
E0, 24405, 43,
S0, 24751, 43,
E0, 17726, 44,
S0, 23420, 44,
E0, 17660, 45,
S0, 26379, 45,
E0, 28359, 46,
S0, 42701, 46,
E0, 18613, 47,
S0, 23940, 47,
E0, 18393, 48,
S0, 851156, 48,
E0, 18072, 49,
S0, 678013, 49,
E0, 17513, 50,
S0, 108088, 50,
E0, 18464, 51,
S0, 44148, 51,
E0, 26456, 52,
S0, 25482, 52,
E0, 252341, 53,
S0, 36477, 53,
E0, 81533, 54,
S0, 25379, 54,
E0, 18935, 55,
S0, 25716, 55,
E0, 18523, 56,
S0, 32472, 56,
E0, 19072, 57,
S0, 26137, 57,
E0, 18587, 58,
S0, 27850, 58,
E0, 18531, 59,
S0, 586366, 59,
E0, 18653, 60,
S0, 715499, 60,
